Lektion;Englisch;Deutsch
2_0 Welcome back!;a clock;eine Uhr
2_0 Welcome back!;a clown;ein Clown
2_0 Welcome back!;a duck;eine Ente
2_0 Welcome back!;a guitar;eine Gitarre
2_0 Welcome back!;a lake;ein See
2_0 Welcome back!;What's this in English?;Was heißt das auf Englisch?
2_0 Welcome back!;It's a pencil.;Das ist ein Bleistift.
2_0 Welcome back!;a trumpet;eine Trompete
2_0 Welcome back!;What's the time?;Wie spät ist es?
2_0 Welcome back!;It's three o'clock.;Es ist drei Uhr.
2_0 Welcome back!;colour;ausmalen
2_0 Welcome back!;cut;schneiden
2_0 Welcome back!;draw;zeichnen
2_0 Welcome back!;listen;zuhören
2_0 Welcome back!;look;schauen
2_0 Welcome back!;open your book;öffne dein Buch
2_0 Welcome back!;put your hand up;aufzeigen
2_0 Welcome back!;read;lesen
2_0 Welcome back!;write;schreiben

2_1 Let's be friends;a castle;eine Burg
2_1 Let's be friends;a cloud;eine Wolke
2_1 Let's be friends;a forest;ein Wald
2_1 Let's be friends;grass;Gras
2_1 Let's be friends;a hill;ein Hügel
2_1 Let's be friends;a mountain;ein Berg
2_1 Let's be friends;a picture;ein Bild
2_1 Let's be friends;a sketchbook;ein Skizzenbuch
2_1 Let's be friends;the sky;der Himmel
2_1 Let's be friends;a road;eine Straße
2_1 Let's be friends;I'm from France. I speak French.;Ich komme aus Frankreich. Ich spreche Französisch.
2_1 Let's be friends;I'm from Spain. I speak Spanish.;Ich komme aus Spanien. Ich spreche Spanisch.
2_1 Let's be friends;I'm from Italy. I speak Italian.;Ich komme aus Italien. Ich spreche Italienisch.
2_1 Let's be friends;I'm from Portugal. I speak Portuguese.;Ich komme aus Portugal. Ich spreche Portugiesisch.
2_1 Let's be friends;I'm from Germany. I speak German.;Ich komme aus Deutschland. Ich spreche Deutsch.
2_1 Let's be friends;I'm from Turkey. I speak Turkish.;Ich komme aus der Türkei. Ich spreche Türkisch.
2_1 Let's be friends;I'm from Switzerland. I speak Swiss German and French.;Ich komme aus der Schweiz. Ich spreche Schweizerdeutsch und Französisch.
2_1 Let's be friends;light blue;hellblau
2_1 Let's be friends;dark blue;dunkelblau
2_1 Let's be friends;light green;hellgrün
2_1 Let's be friends;dark green;dunkelgrün

2_2 All in a day;I wake up.;Ich wache auf.
2_2 All in a day;I get up.;Ich stehe auf.
2_2 All in a day;I clean my teeth.;Ich putze meine Zähne.
2_2 All in a day;I have a shower.;Ich dusche mich.
2_2 All in a day;I brush my hair.;Ich bürste meine Haare.
2_2 All in a day;I get dressed.;Ich ziehe mich an.
2_2 All in a day;I go to school.;Ich gehe zur Schule.
2_2 All in a day;I meet my friends.;Ich treffe meine Freunde.
2_2 All in a day;I do my homework.;Ich mache meine Hausaufgaben.
2_2 All in a day;in the morning;am Morgen
2_2 All in a day;in the afternoon;am Nachmittag
2_2 All in a day;in the evening;am Abend
2_2 All in a day;at night;in der Nacht
2_2 All in a day;I go to bed.;Ich gehe ins Bett.
2_2 All in a day;It's seven o'clock.;Es ist sieben Uhr.
2_2 All in a day;It's a quarter past seven.;Es ist Viertel nach sieben.
2_2 All in a day;It's half past seven.;Es ist halb acht.
2_2 All in a day;It's a quarter to eight.;Es ist Viertel vor acht.

2_3 Let's play!;basketball;Basketball
2_3 Let's play!;cricket;Cricket
2_3 Let's play!;football;Fußball
2_3 Let's play!;handball;Handball
2_3 Let's play!;hockey;Hockey
2_3 Let's play!;horse riding;Reiten
2_3 Let's play!;table tennis;Tischtennis
2_3 Let's play!;rugby;Rugby
2_3 Let's play!;skiing;Skifahren
2_3 Let's play!;snowboarding;Snowboarden
2_3 Let's play!;bounce;prellen
2_3 Let's play!;jump;springen
2_3 Let's play!;kick;kicken
2_3 Let's play!;pass;passen
2_3 Let's play!;win;gewinnen
2_3 Let's play!;Don't push!;Nicht schubsen!
2_3 Let's play!;score a goal;ein Tor schießen
2_3 Let's play!;a team;eine Mannschaft
2_3 Let's play!;football boots;Fußballschuhe
2_3 Let's play!;a tennis racquet;ein Tennisschläger
2_3 Let's play!;a snowboard;ein Snowboard
2_3 Let's play!;a bike helmet;ein Fahrradhelm

2_4 Computers and codes;a bin;ein Mülleimer
2_4 Computers and codes;a code;ein Code
2_4 Computers and codes;a computer;ein Computer
2_4 Computers and codes;an envelope;ein Briefumschlag
2_4 Computers and codes;a password;ein Passwort
2_4 Computers and codes;a keyboard;eine Tastatur
2_4 Computers and codes;an office;ein Büro
2_4 Computers and codes;a mouse;eine Maus
2_4 Computers and codes;a printer;ein Drucker
2_4 Computers and codes;a screen;ein Bildschirm
2_4 Computers and codes;a mobile phone;ein Handy
2_4 Computers and codes;the alphabet;das Alphabet
2_4 Computers and codes;How do you spell your name?;Wie buchstabiert man deinen Namen?
2_4 Computers and codes;Can you repeat that, please?;Kannst du das bitte wiederholen?
2_4 Computers and codes;He's digging.;Er gräbt.
2_4 Computers and codes;She's opening a box.;Sie öffnet eine Schachtel.
2_4 Computers and codes;He's printing documents.;Er druckt Dokumente aus.
2_4 Computers and codes;They are waiting for a bus.;Sie warten auf einen Bus.
2_4 Computers and codes;She's working.;Sie arbeitet.
2_4 Computers and codes;He's watching the birds.;Er beobachtet die Vögel.

2_5 Seasons and cycles;spring;Frühling
2_5 Seasons and cycles;summer;Sommer
2_5 Seasons and cycles;autumn;Herbst
2_5 Seasons and cycles;winter;Winter
2_5 Seasons and cycles;a leaf;ein Blatt
2_5 Seasons and cycles;a hole;ein Loch
2_5 Seasons and cycles;a branch;ein Ast
2_5 Seasons and cycles;a town;eine Stadt
2_5 Seasons and cycles;an oak tree;eine Eiche
2_5 Seasons and cycles;a squirrel;ein Eichhörnchen
2_5 Seasons and cycles;people;Leute
2_5 Seasons and cycles;a plant;eine Pflanze
2_5 Seasons and cycles;an acorn;eine Eichel
2_5 Seasons and cycles;A squirrel plants an acorn.;Ein Eichhörnchen pflanzt eine Eichel.
2_5 Seasons and cycles;The acorn grows into a tree.;Die Eichel wächst zu einem Baum heran.
2_5 Seasons and cycles;The wind blows the leaves.;Der Wind weht die Blätter.
2_5 Seasons and cycles;A stormy day.;Ein stürmischer Tag.
2_5 Seasons and cycles;He lives in a city.;Er lebt in einer Großstadt.
2_5 Seasons and cycles;He lives in a village.;Er lebt in einem Dorf.

2_6 Towns and cities;a church;eine Kirche
2_6 Towns and cities;a cinema;ein Kino
2_6 Towns and cities;a bridge;eine Brücke
2_6 Towns and cities;a museum;ein Museum
2_6 Towns and cities;a restaurant;ein Restaurant
2_6 Towns and cities;a square;ein Platz
2_6 Towns and cities;a football stadium;ein Fußballstadion
